embed_dim,beta,row_penalty,col_penalty,rows_close_to_1,cols_close_to_1,row_max_abs_diff,row_mean_abs_diff,col_max_abs_diff,col_mean_abs_diff,num_correct_matches,accuracy,final_loss
1000,10,10,200,True,False,4.7683716e-07,4.1547732e-08,0.065552115,0.0049593756,1435,0.22687747035573122,-24100.3515625
2000,10,10,200,True,False,4.7683716e-07,4.178817e-08,0.066850185,0.005114675,1418,0.2241897233201581,-23591.244140625
3000,10,10,200,True,False,5.364418e-07,4.2106752e-08,0.05978918,0.0049594673,1422,0.22482213438735177,-24059.5
4000,10,10,200,True,False,4.7683716e-07,4.1187075e-08,0.060403585,0.0050487504,1424,0.22513833992094862,-24214.17578125
5000,10,10,200,True,False,4.7683716e-07,4.223298e-08,0.059268832,0.0048477408,1390,0.21976284584980238,-23954.892578125
